event_id,customer_id,event_type,amount,updated_at,metadata.channel,metadata.campaign
E0001,C0024,page_view,4210.54,2026-08-01T11:00:00,partner,none
E0002,C0008,support,4882.46,2026-08-01T14:00:00,mobile,retarget
E0003,C0061,page_view,3875.23,2026-08-01T17:00:00,mobile,retarget
E0004,C0025,add_to_cart,587.17,2026-08-01T20:00:00,partner,retarget
E0005,C0230,checkout,2860.24,2026-08-01T23:00:00,partner,launch
E0006,C0114,add_to_cart,2464.12,2026-08-02T02:00:00,web,launch
E0007,C0241,page_view,2271.8,2026-08-02T05:00:00,mobile,launch
E0008,C0157,add_to_cart,593.1,2026-08-02T08:00:00,mobile,retarget
E0009,C0036,payment,2565.98,2026-08-02T11:00:00,mobile,none
E0010,C0161,payment,1409.98,2026-08-02T14:00:00,mobile,launch
E0011,C0162,checkout,260.36,2026-08-02T17:00:00,web,none
E0012,C0189,page_view,3191.16,2026-08-02T20:00:00,web,none
E0013,C0174,page_view,329.2,2026-08-02T23:00:00,web,launch
E0014,C0068,checkout,2446.77,2026-08-03T02:00:00,partner,retarget
E0015,C0019,page_view,4541.08,2026-08-03T05:00:00,mobile,retarget
E0016,C0182,page_view,2400.18,2026-08-03T08:00:00,web,launch
E0017,C0036,checkout,4930.77,2026-08-03T11:00:00,partner,none
E0018,C0178,add_to_cart,2916.98,2026-08-03T14:00:00,mobile,retarget
E0019,C0215,payment,1421.46,2026-08-03T17:00:00,web,launch
E0020,C0073,page_view,651.71,2026-08-03T20:00:00,partner,launch
E0021,C0190,page_view,3204.73,2026-08-03T23:00:00,web,launch
E0022,C0018,add_to_cart,348.39,2026-08-04T02:00:00,web,retarget
E0023,C0028,page_view,2786.09,2026-08-04T05:00:00,web,none
E0024,C0038,payment,4867.2,2026-08-04T08:00:00,mobile,launch
E0025,C0134,page_view,390.71,2026-08-04T11:00:00,web,launch
E0026,C0142,add_to_cart,4354.36,2026-08-04T14:00:00,partner,launch
E0027,C0028,checkout,2149.15,2026-08-04T17:00:00,web,launch
E0028,C0166,support,3939.61,2026-08-04T20:00:00,web,retarget
E0029,C0239,payment,4525.19,2026-08-04T23:00:00,mobile,launch
E0030,C0101,page_view,390.26,2026-08-05T02:00:00,mobile,none
E0031,C0197,add_to_cart,889.22,2026-08-05T05:00:00,mobile,none
E0032,C0023,payment,3478.42,2026-08-05T08:00:00,partner,retarget
E0033,C0172,add_to_cart,1.86,2026-08-05T11:00:00,partner,none
E0034,C0191,checkout,3144.39,2026-08-05T14:00:00,partner,retarget
E0035,C0169,checkout,1904.0,2026-08-05T17:00:00,mobile,none
E0036,C0028,page_view,2017.7,2026-08-05T20:00:00,web,retarget
E0037,C0002,payment,2334.69,2026-08-05T23:00:00,partner,launch
E0038,C0249,payment,2113.58,2026-08-06T02:00:00,partner,retarget
E0039,C0177,checkout,822.96,2026-08-06T05:00:00,partner,launch
E0040,C0025,support,4773.13,2026-08-06T08:00:00,mobile,launch
E0041,C0038,checkout,4677.62,2026-08-06T11:00:00,mobile,retarget
E0042,C0146,checkout,695.79,2026-08-06T14:00:00,mobile,launch
E0043,C0247,add_to_cart,4559.8,2026-08-06T17:00:00,web,launch
E0044,C0208,page_view,1894.68,2026-08-06T20:00:00,mobile,retarget
E0045,C0078,checkout,2388.31,2026-08-06T23:00:00,partner,none
E0046,C0112,payment,2120.43,2026-08-07T02:00:00,partner,retarget
E0047,C0013,payment,4729.9,2026-08-07T05:00:00,web,launch
E0048,C0083,checkout,2583.03,2026-08-07T08:00:00,web,none
E0049,C0205,support,1952.13,2026-08-07T11:00:00,partner,launch
E0050,C0069,payment,191.42,2026-08-07T14:00:00,web,retarget
E0051,C0026,support,1369.04,2026-08-07T17:00:00,mobile,retarget
E0052,C0222,checkout,342.6,2026-08-07T20:00:00,web,none
E0053,C0044,add_to_cart,2166.67,2026-08-07T23:00:00,partner,none
E0054,C0092,page_view,2710.2,2026-08-08T02:00:00,web,retarget
E0055,C0023,add_to_cart,1401.35,2026-08-08T05:00:00,mobile,retarget
E0056,C0045,add_to_cart,559.4,2026-08-08T08:00:00,partner,none
E0057,C0012,payment,1281.15,2026-08-08T11:00:00,partner,none
E0058,C0017,page_view,964.08,2026-08-08T14:00:00,partner,none
E0059,C0004,page_view,4689.06,2026-08-08T17:00:00,mobile,retarget
E0060,C0139,support,3308.98,2026-08-08T20:00:00,mobile,launch
E0061,C0156,support,3490.01,2026-08-08T23:00:00,web,none
E0062,C0105,page_view,4389.65,2026-08-09T02:00:00,web,none
E0063,C0219,page_view,2029.16,2026-08-09T05:00:00,mobile,none
E0064,C0213,support,143.45,2026-08-09T08:00:00,web,none
E0065,C0117,checkout,928.02,2026-08-09T11:00:00,mobile,launch
E0066,C0106,add_to_cart,1491.68,2026-08-09T14:00:00,partner,launch
E0067,C0121,page_view,4852.95,2026-08-09T17:00:00,web,retarget
