order_id,customer_id,order_timestamp,status,item_count,subtotal,shipping_fee,total_amount,shipping.region,shipping.method
O00001,C0230,2026-06-27T03:27:00,Packed,7,5390.6,49,5439.6,Region VII,Standard
O00002,C0066,2026-04-29T13:39:00,Packed,2,11094.85,99,11193.85,Region XI,Pickup
O00003,C0202,2026-03-08T13:00:00,Delivered,2,1200.21,0,1200.21,Region IV-A,Pickup
O00004,C0063,2026-01-14T09:20:00,Cancelled,6,6217.54,0,6217.54,Region III,Standard
O00005,C0163,2026-05-21T21:18:00,Pending,5,9866.01,99,9965.01,Region VII,Standard
O00006,C0161,2026-03-26T20:58:00,Pending,6,3702.85,149,3851.85,Region XI,Express
O00007,C0106,2026-02-23T17:32:00,Packed,1,9334.34,79,9413.34,Region XI,Standard
O00008,C0201,2026-06-09T19:54:00,Cancelled,7,3377.15,99,3476.15,Region XI,Express
O00009,C0086,2026-02-13T03:40:00,Shipped,8,8779.3,0,8779.3,Region III,Express
O00010,C0224,2026-02-22T06:26:00,Delivered,5,10505.59,99,10604.59,Region VII,Standard
O00011,C0213,2026-03-20T22:33:00,Cancelled,1,7058.09,49,7107.09,Region VII,Express
O00012,C0191,2026-01-16T23:54:00,Shipped,8,9657.91,99,9756.91,NCR,Pickup
O00013,C0001,2026-01-03T06:43:00,Delivered,4,8863.27,99,8962.27,Region XI,Standard
O00014,C0171,2026-02-23T13:32:00,Shipped,4,7419.12,0,7419.12,Region III,Standard
O00015,C0161,2026-06-19T08:31:00,Pending,3,6830.05,49,6879.05,Region III,Pickup
O00016,C0041,2026-05-23T02:22:00,Packed,7,11579.47,79,11658.47,Region XI,Express
O00017,C0166,2026-05-15T04:36:00,Packed,2,2162.1,99,2261.1,Region VII,Express
O00018,C0088,2026-03-20T08:06:00,Pending,2,2758.4,99,2857.4,Region III,Standard
O00019,C0180,2026-03-20T00:22:00,Paid,1,11834.48,49,11883.48,Region VII,Express
O00020,C0173,2026-06-01T11:31:00,Cancelled,7,3939.1,79,4018.1,Region IV-A,Express
O00021,C0132,2026-01-05T08:06:00,Shipped,5,9417.2,79,9496.2,Region VII,Pickup
O00022,C0018,2026-03-26T11:35:00,Pending,8,6530.13,149,6679.13,NCR,Pickup
O00023,C0019,2026-05-24T06:04:00,Pending,4,214.4,0,214.4,Region XI,Express
O00024,C0084,2026-01-25T13:54:00,Shipped,4,10360.22,49,10409.22,NCR,Pickup
O00025,C0053,2026-03-30T02:47:00,Delivered,8,2087.82,79,2166.82,Region IV-A,Express
O00026,C0195,2026-01-25T16:01:00,Delivered,5,962.26,79,1041.26,NCR,Pickup
O00027,C0210,2026-04-02T00:02:00,Shipped,6,762.18,99,861.18,Region XI,Express
O00028,C0192,2026-02-24T07:47:00,Pending,2,10113.08,149,10262.08,Region IV-A,Express
O00029,C0043,2026-06-12T04:33:00,Pending,3,2524.84,149,2673.84,NCR,Express
O00030,C0192,2026-04-15T02:22:00,Pending,1,6040.72,79,6119.72,Region VII,Express
O00031,C0079,2026-02-22T09:39:00,Pending,6,1467.9,0,1467.9,Region III,Standard
O00032,C0140,2026-05-14T01:40:00,Shipped,3,10724.17,99,10823.17,Region IV-A,Standard
O00033,C0003,2026-05-16T14:10:00,Pending,4,2972.77,49,3021.77,Region VII,Express
O00034,C0096,2026-03-25T21:33:00,Packed,5,1707.46,149,1856.46,Region XI,Pickup
O00035,C0031,2026-01-07T08:36:00,Paid,1,10729.37,49,10778.37,Region XI,Express
O00036,C0121,2026-04-04T18:09:00,Shipped,5,3498.66,79,3577.66,Region XI,Standard
O00037,C0239,2026-03-20T02:19:00,Delivered,1,5534.94,0,5534.94,Region III,Standard
O00038,C0233,2026-03-27T10:56:00,Packed,4,9757.45,79,9836.45,Region IV-A,Express
O00039,C0076,2026-04-05T22:46:00,Shipped,5,11514.35,99,11613.35,Region VII,Pickup
O00040,C0028,2026-02-27T20:53:00,Cancelled,2,7773.38,49,7822.38,Region VII,Standard
O00041,C0183,2026-06-27T04:45:00,Packed,5,7362.09,99,7461.09,Region XI,Standard
O00042,C0009,2026-05-09T12:24:00,Pending,6,2193.27,0,2193.27,NCR,Express
O00043,C0003,2026-04-15T15:50:00,Paid,2,9719.82,0,9719.82,Region III,Express
O00044,C0167,2026-02-13T11:37:00,Paid,5,8823.37,0,8823.37,Region VII,Express
O00045,C0063,2026-03-31T05:42:00,Delivered,3,10650.2,79,10729.2,Region VII,Express
O00046,C0039,2026-02-03T02:13:00,Shipped,5,8952.33,99,9051.33,NCR,Standard
O00047,C0191,2026-06-18T14:14:00,Shipped,3,7700.48,149,7849.48,Region VII,Express
O00048,C0158,2026-06-28T16:41:00,Packed,6,1828.84,79,1907.84,Region III,Standard
O00049,C0125,2026-04-05T18:48:00,Shipped,3,9005.56,0,9005.56,NCR,Standard
O00050,C0108,2026-01-03T00:55:00,Shipped,7,11838.98,0,11838.98,Region IV-A,Standard
O00051,C0201,2026-02-21T01:44:00,Pending,7,5616.69,99,5715.69,Region VII,Pickup
O00052,C0097,2026-02-28T23:18:00,Paid,8,1521.61,99,1620.61,Region XI,Standard
O00053,C0050,2026-02-06T17:01:00,Paid,7,9032.62,79,9111.62,Region IV-A,Standard
O00054,C0088,2026-05-03T01:49:00,Pending,6,10351.16,99,10450.16,Region XI,Standard
O00055,C0247,2026-01-20T18:03:00,Packed,3,2313.34,99,2412.34,Region III,Express
O00056,C0110,2026-02-10T23:04:00,Pending,3,8021.02,99,8120.02,Region III,Express
O00057,C0100,2026-03-16T05:27:00,Paid,3,8548.57,79,8627.57,Region IV-A,Express
O00058,C0027,2026-06-15T19:41:00,Delivered,5,927.36,49,976.36,Region VII,Standard
O00059,C0189,2026-03-18T23:47:00,Cancelled,2,10310.09,79,10389.09,Region III,Express
O00060,C0248,2026-02-06T02:12:00,Cancelled,4,1299.19,99,1398.19,Region III,Express
O00061,C0228,2026-02-16T06:34:00,Packed,5,3199.93,0,3199.93,Region XI,Express
O00062,C0246,2026-01-12T23:57:00,Packed,5,6641.72,49,6690.72,Region III,Standard
O00063,C0188,2026-04-05T20:38:00,Delivered,7,8923.82,0,8923.82,Region XI,Standard
O00064,C0054,2026-02-25T13:11:00,Shipped,2,312.12,99,411.12,NCR,Pickup
O00065,C0115,2026-01-07T18:19:00,Delivered,8,3646.89,99,3745.89,Region III,Pickup
O00066,C0146,2026-01-04T22:50:00,Delivered,4,11394.22,49,11443.22,Region IV-A,Standard
O00067,C0052,2026-01-03T17:48:00,Cancelled,2,563.18,99,662.18,Region VII,Standard
O00068,C0175,2026-01-30T21:32:00,Shipped,2,5074.64,49,5123.64,NCR,Standard
O00069,C0151,2026-05-09T00:46:00,Cancelled,1,11478.65,99,11577.65,Region XI,Pickup
O00070,C0200,2026-04-25T17:18:00,Packed,5,3424.33,0,3424.33,NCR,Standard
O00071,C0131,2026-03-30T23:08:00,Shipped,7,6201.35,0,6201.35,Region XI,Pickup
O00072,C0160,2026-01-15T05:27:00,Pending,7,4761.71,0,4761.71,Region XI,Pickup
O00073,C0209,2026-06-25T15:59:00,Pending,6,10863.86,0,10863.86,NCR,Express
O00074,C0144,2026-01-13T11:47:00,Packed,1,10010.1,0,10010.1,Region VII,Standard
O00075,C0014,2026-06-14T00:30:00,Pending,8,7140.28,49,7189.28,Region III,Pickup
O00076,C0057,2026-05-02T22:50:00,Cancelled,6,4811.74,79,4890.74,Region VII,Standard
O00077,C0102,2026-01-10T12:59:00,Paid,6,8073.35,99,8172.35,Region III,Pickup
O00078,C0165,2026-03-27T01:20:00,Cancelled,4,4140.05,49,4189.05,Region VII,Express
O00079,C0066,2026-01-30T17:09:00,Pending,1,5794.63,99,5893.63,Region III,Pickup
O00080,C0150,2026-05-22T08:27:00,Packed,1,6308.85,49,6357.85,Region III,Express
O00081,C0207,2026-06-14T10:18:00,Pending,5,6384.53,79,6463.53,Region VII,Standard
O00082,C0141,2026-02-27T18:57:00,Pending,8,9770.13,49,9819.13,Region XI,Express
O00083,C0002,2026-03-08T10:41:00,Packed,6,8403.59,79,8482.59,Region III,Express
O00084,C0236,2026-06-13T20:13:00,Cancelled,3,9913.72,0,9913.72,Region XI,Express
O00085,C0240,2026-06-25T02:48:00,Delivered,4,9639.35,99,9738.35,Region III,Standard
O00086,C0061,2026-06-18T07:40:00,Packed,5,1000.98,149,1149.98,Region VII,Express
O00087,C0175,2026-01-22T13:02:00,Delivered,7,6663.7,79,6742.7,Region VII,Standard
O00088,C0092,2026-01-14T17:23:00,Packed,3,6114.78,99,6213.78,Region VII,Standard
O00089,C0033,2026-06-21T01:02:00,Pending,1,5382.59,0,5382.59,Region XI,Standard
O00090,C0040,2026-01-08T13:11:00,Shipped,7,11277.85,149,11426.85,Region IV-A,Express
O00091,C0035,2026-04-17T20:01:00,Shipped,2,10075.65,99,10174.65,Region III,Express
O00092,C0198,2026-03-22T01:53:00,Cancelled,4,6713.02,49,6762.02,Region VII,Standard
O00093,C0121,2026-04-27T00:23:00,Pending,6,8071.29,79,8150.29,Region VII,Express
O00094,C0074,2026-06-20T09:59:00,Shipped,4,8294.83,0,8294.83,Region XI,Express
O00095,C0223,2026-04-25T15:53:00,Packed,4,9042.87,149,9191.87,NCR,Express
O00096,C0141,2026-06-07T18:36:00,Delivered,3,10742.14,79,10821.14,Region III,Standard
O00097,C0223,2026-01-12T00:56:00,Pending,6,8413.0,149,8562.0,Region IV-A,Standard
O00098,C0217,2026-03-11T05:29:00,Cancelled,8,4774.73,49,4823.73,Region III,Standard
O00099,C0024,2026-03-08T22:39:00,Packed,6,6295.87,99,6394.87,Region III,Pickup
O00100,C0075,2026-03-07T17:20:00,Cancelled,3,11253.93,149,11402.93,NCR,Pickup
O00101,C0015,2026-03-20T13:16:00,Shipped,4,11685.07,149,11834.07,NCR,Pickup
O00102,C0169,2026-02-12T20:21:00,Pending,4,4107.38,49,4156.38,Region IV-A,Pickup
O00103,C0064,2026-03-04T17:05:00,Shipped,3,9319.32,99,9418.32,Region VII,Pickup
O00104,C0046,2026-05-29T17:09:00,Pending,7,4670.93,0,4670.93,Region XI,Pickup
O00105,C0136,2026-01-16T11:27:00,Shipped,4,4064.46,99,4163.46,Region III,Pickup
O00106,C0146,2026-06-02T05:23:00,Cancelled,6,9204.23,99,9303.23,NCR,Standard
O00107,C0159,2026-06-04T10:59:00,Shipped,7,10639.14,79,10718.14,Region III,Express
O00108,C0048,2026-02-24T17:13:00,Paid,8,2515.22,79,2594.22,Region XI,Pickup
O00109,C0036,2026-04-16T01:33:00,Packed,8,4183.56,0,4183.56,NCR,Pickup
O00110,C0027,2026-04-11T15:23:00,Cancelled,5,1196.15,149,1345.15,Region VII,Standard
O00111,C0125,2026-02-09T18:54:00,Paid,4,8205.93,149,8354.93,Region IV-A,Express
O00112,C0242,2026-01-02T03:00:00,Cancelled,6,8475.17,99,8574.17,NCR,Standard
O00113,C0054,2026-04-08T00:38:00,Cancelled,1,8542.97,149,8691.97,Region XI,Standard
O00114,C0238,2026-01-21T12:28:00,Delivered,3,10291.81,0,10291.81,Region VII,Pickup
O00115,C0165,2026-01-02T17:25:00,Packed,8,1576.97,99,1675.97,Region IV-A,Pickup
O00116,C0072,2026-03-04T17:42:00,Shipped,3,5997.03,0,5997.03,Region IV-A,Standard
O00117,C0209,2026-06-08T17:51:00,Pending,6,10689.32,149,10838.32,NCR,Standard
O00118,C0127,2026-05-22T22:55:00,Delivered,4,9070.62,149,9219.62,NCR,Express
O00119,C0106,2026-05-08T21:29:00,Shipped,2,10249.85,79,10328.85,Region III,Express
O00120,C0031,2026-06-16T22:16:00,Shipped,5,2139.88,0,2139.88,Region XI,Express
O00121,C0089,2026-03-14T18:06:00,Cancelled,2,833.13,99,932.13,Region IV-A,Pickup
O00122,C0224,2026-06-21T16:51:00,Packed,2,3590.34,0,3590.34,NCR,Express
O00123,C0082,2026-06-06T00:21:00,Packed,2,4055.92,79,4134.92,Region III,Express
O00124,C0127,2026-06-16T22:22:00,Delivered,5,7033.48,49,7082.48,Region VII,Express
O00125,C0182,2026-04-30T01:16:00,Pending,5,8756.2,99,8855.2,NCR,Standard
